date,latitude,longitude,tavg
2016-03-21,40.53164505245323,-74.11573522665634,4.5
2016-11-07,40.528513009982035,-73.76844669216564,8.7
2015-05-09,40.53115890799374,-74.13282882978162,17.3
2015-11-04,40.61656637751653,-74.16952680244007,16.1
2015-09-02,40.916756445238526,-74.15665920112812,26.4
2015-12-10,40.70030951691263,-73.81642336640104,12.3
2015-05-23,40.48734868293832,-73.98245619129025,15.7
2016-11-16,40.67935419963263,-73.89477435610604,10.6
2015-12-14,40.79720595784835,-73.88862733766116,14.0
2015-07-27,40.52351368976378,-73.87804160622447,25.8
2015-06-03,40.49987720982304,-73.81623517087523,14.3
2015-11-18,40.83949797271821,-74.24363996888142,9.3
2016-08-25,40.715929433232,-73.81002227600943,24.2
2015-02-06,40.72399665994827,-74.24474425563422,-9.3
2016-07-22,40.72323272680043,-74.11145034330734,28.3
2016-02-03,40.73345336721227,-74.03062123584945,8.7
2016-08-22,40.54210230182882,-73.82164645988941,24.2
2016-06-19,40.73691244171061,-73.8672112750953,23.8
2016-05-04,40.51484305661645,-73.79176138190189,10.3
2016-05-04,40.77097329960873,-73.82313809938421,10.3
2015-08-24,40.5287679036155,-74.1191817746674,25.3
2016-11-12,40.76874875299391,-74.00267152508647,7.9
2015-08-27,40.829669797041305,-74.09581833408184,22.1
2016-04-25,40.726016780241864,-74.136642413024,14.7
2016-01-20,40.57704621895675,-74.01882230926158,-0.5
2015-12-19,40.53393733952683,-73.9143519684584,4.0
2016-03-12,40.62362436690531,-73.88041603715037,9.4
2016-08-19,40.7642954111805,-74.12927746814955,26.8
2015-09-13,40.614263349268235,-73.88661897713338,22.5
2015-11-13,40.60692361693767,-74.13084012589698,13.6
2015-12-11,40.73468569707466,-74.07774104200384,11.5
2016-12-23,40.51925356107294,-73.71018725660615,6.0
2015-06-17,40.663817573847815,-73.8770771567638,23.5
2016-09-17,40.57230903586584,-74.00672481175958,19.9
2016-09-09,40.5071249446708,-74.13234484739175,30.3
2016-10-01,40.590446444340245,-73.75467775847889,15.6
2015-03-30,40.63023029157762,-73.98459142321784,5.9
2015-10-27,40.59178013174088,-73.88791081452268,10.5
2016-12-15,40.75374566084543,-73.89896647278921,-2.2
2016-08-19,40.845937881947,-73.83356806463043,26.8
2016-04-04,40.852406790585256,-74.12981505938892,3.1
2016-04-18,40.90358736721963,-73.77885084361337,16.0
2015-08-31,40.67600926872886,-74.06595844613337,28.5
2015-01-20,40.54156660937885,-74.25618591274873,3.1
2016-07-21,40.48571627533488,-73.85680096631245,24.9
2016-02-20,40.65472347388829,-74.15377124565606,8.3
2016-01-17,40.81502174451142,-74.02993151232356,1.3
2016-08-07,40.87475082730835,-73.90739097860272,26.3
2016-03-25,40.68209411108639,-73.79173937664116,11.1
2015-02-07,40.54850240181688,-74.187754634594,-2.7
2016-03-21,40.5477229751472,-73.99576365307676,4.5
2015-02-12,40.68705156031404,-74.13867615527774,-0.6
2015-10-18,40.4997158963865,-74.17718214502442,6.3
2015-07-11,40.72802430252785,-74.21734729603853,23.8
2016-08-18,40.827257479910195,-74.20986824573886,25.4
2016-09-02,40.70126909405437,-73.79015286820503,22.8
2015-09-12,40.54952067576547,-74.10287693257095,23.1
2015-11-20,40.67183888523366,-73.982803795531,14.7
2015-01-06,40.74343164452438,-74.01976849114772,-6.4
2015-09-19,40.84839376862978,-74.18632038093128,21.2
2016-02-09,40.75063583448252,-73.86778812337596,-0.6
2016-02-28,40.533435443226914,-73.84587576494435,6.2
2015-09-06,40.47879002798958,-73.97154637856761,22.7
2016-04-13,40.63852093892385,-74.12830526106012,9.1
2016-06-01,40.90968916855653,-73.74469761733694,21.5
2016-11-19,40.554977314498004,-74.19484896330486,11.7
2016-03-05,40.82756077702722,-73.72693585855998,1.7
2015-01-26,40.589558363753554,-73.89570481111151,-2.0
2016-04-27,40.8829103225333,-73.77585231408413,11.4
2016-08-12,40.73864618910077,-73.7166026468724,28.4
2015-01-20,40.763221038697154,-73.88174618726038,3.1
2016-10-30,40.68257293372729,-74.04498306487163,18.6
2016-06-04,40.692440723143385,-73.95375062033372,22.3
2016-10-19,40.47983218001524,-74.22345536975924,24.3
2016-12-27,40.49596202564725,-73.92797844335513,12.1
2016-12-27,40.748850072117364,-74.06438413831198,12.3
2015-04-30,40.57118850149074,-73.99506548005884,13.1
2016-07-06,40.88983451532957,-74.2480689536143,28.0
2016-07-02,40.679395539511134,-74.20765469654057,22.8
2015-08-27,40.79394082997001,-74.24540914323583,20.6
2015-03-17,40.72206119369762,-74.09248725793549,9.9
2016-10-06,40.7904204188742,-73.9518346056089,18.7
2016-12-25,40.53636678483655,-74.03531927099503,6.3
2016-05-26,40.69034585205887,-73.7251826606436,23.3
2016-04-03,40.85617721973126,-74.24175330319004,3.5
2015-12-09,40.84380987081591,-74.03486847619729,6.9
2016-02-06,40.90655942846714,-74.11309066691047,0.6
2015-07-03,40.58053427579322,-74.03841185247201,23.1
2016-01-25,40.7876414219902,-74.10108629682541,-2.3
2015-05-26,40.80301762150937,-73.87101584917106,25.2
2015-07-06,40.86289773739001,-74.14625799384751,24.6
2016-10-18,40.71177155043358,-74.14765614640183,22.4
2015-02-24,40.74097212547643,-73.8717604433796,-11.2
